INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
OTHER,elementary,Corporate,22491,0,1,,,24.957369564,1.8231229882,,,4.8642188787,858
OTHER,advanced,Corporate,31301,0,1,,,23.476959353,0.2896174863,,,2.3920278464,866
OTHER,elementary,,40870,0,0,,,23.109589041,0.7525263867,,,0.9738378621,914
OTHER,elementary,Corporate,82074,0,0,,,24.375342466,0.5150684932,,,3.7616438356,921
OTHER,elementary,Corporate,69448,0,1,,,23.340100307,1.6661277042,,,3.3127030466,950
2NDFL,advanced,Corporate,10050,0,1,,,24.021857923,1.2019312823,,,3.8661202186,957
2NDFL,elementary,,26211,0,0,0,1.3413306452,24.218579235,2.0305112658,2,2,3.7894153754,1007
2NDFL,elementary,,,0,1,1,0.2497759857,24.891451456,3.9344262295,0,0,4.8667939217,1020
2NDFL,elementary,,,0,1,1,0.2497759857,24.891451456,3.9344262295,0,0,4.8667939217,1021
OTHER,advanced,Corporate,17218,0,1,,,24.246485515,1.4657534247,,,4.2218953514,1026
2NDFL,elementary,,,0,1,2,0.8912858423,24.363694887,1.8767123288,0,0,4.2516730294,1034
2NDFL,elementary,,,0,1,2,0.8912858423,24.363694887,1.8767123288,0,0,4.2516730294,1035
2NDFL,elementary,,47827,0,0,1,1.5656586022,24.980178157,0.7418219927,0,0,4.6514110338,1039
2NDFL,high,,,0,1,0,0.3086917563,21.515951793,1.3652668613,0,0,1.3926641216,1043
OTHER,beginner,Corporate,176670,0,1,,,23.904371585,1.4359907179,,,0.7923497268,1050
2NDFL,high,,57594,0,0,,,24.787873344,4.6539935624,,,4.6840482072,1060
OTHER,elementary,Corporate,27092,0,1,1,1,24.546448087,5.1978216932,0,0,4.3005464481,1063
OTHER,elementary,Corporate,34900,0,1,1,2.631922043,23.132539861,0.9900741073,,,3.0667864361,1065
2NDFL,elementary,Corporate,16739,0,0,,,23.928767123,0.3698630137,,,3.8164383562,1105
OTHER,elementary,Corporate,45759,0,1,0,,23.140100307,1.4359907179,0,0,3.1236619507,1117
OTHER,high,Corporate,39737,0,1,0,,23.323370013,0.6366120219,0,0,3.246657684,1127
OTHER,elementary,Corporate,15138,0,1,1,1.0880600358,23.345205479,2.7890410959,1,1,2.8,1128
OTHER,advanced,Corporate,38637,0,1,0,2.726859319,24.808780597,0.4617486339,0,0,4.6393442623,1142
OTHER,elementary,Corporate,27423,0,1,1,0.6372087814,24.409955835,0.8702298076,0,0,4.3196721311,1163
2NDFL,elementary,,46709,0,0,,,24.145205479,1.5397260274,,,2.5917808219,1169
OTHER,elementary,Corporate,56449,0,1,0,1.2794578853,24.861853432,2.4234972678,0,0,4.7961000075,1192
OTHER,elementary,Corporate,56449,0,1,0,1.2794578853,24.861853432,2.4234972678,0,0,4.7961000075,1193
OTHER,elementary,,45000,0,0,,,23.838797814,2.2479601767,,,3.762295082,1213
2NDFL,elementary,,40891,0,0,,,23.62568306,2.0344486863,,,3.5792349727,1227
OTHER,elementary,Corporate,66870,0,1,,,24.793173142,3.1685156075,,,4.721940265,1240
2NDFL,elementary,,10028,0,0,,,23.688397335,0.5710382514,,,3.5815480201,1250
2NDFL,elementary,,13961,0,0,1,0.4065860215,24.336342541,1.6541507598,0,0,4.3007261023,1251
2NDFL,elementary,,,0,1,2,0.5980062724,24.702185792,1.4740549442,0,0,4.6612021858,1279
2NDFL,elementary,,,0,1,2,0.5980062724,24.702185792,1.4740549442,0,0,4.6612021858,1280
2NDFL,elementary,,30014,0,0,0,,23.064406018,0.5849539636,0,0,3.0287895801,1315
OTHER,elementary,Corporate,58000,0,0,0,1.0485215054,24.054644809,1.3676847069,0,0,3.9754098361,1317
2NDFL,elementary,,63235,0,0,,,24.770656486,2.301369863,,,4.7487985628,1419
OTHER,high,Corporate,54249,0,1,,,23.665753425,1.1353544427,,,3.6191780822,1462
OTHER,elementary,Corporate,34346,0,1,,,24.99371959,2.2074182199,,,4.9389250692,1466
2NDFL,elementary,,,0,1,1,0.8590053763,23.164630586,1.3673703121,0,0,3.1235346957,1470
2NDFL,elementary,,,0,1,1,0.8590053763,23.164630586,1.3673703121,0,0,3.1235346957,1471
OTHER,elementary,Corporate,41227,0,1,,,24.375305038,0.5283105023,,,4.2876712329,1493
OTHER,elementary,,80000,0,0,0,0.211827957,23.969945355,0.571958979,0,0,3.868852459,1524
OTHER,elementary,Corporate,59220,0,1,0,1.9251344086,24.368852459,3.912568306,0,0,4.262295082,1544
OTHER,elementary,Corporate,59220,0,1,0,1.9251344086,24.368852459,3.912568306,0,0,4.262295082,1545
2NDFL,elementary,,15834,0,0,0,1.571438172,23.282438805,1.0605209971,0,0,2.2824388053,1548
2NDFL,advanced,,23794,0,0,,,23.142465753,2.8273972603,,,3.0438356164,1551
OTHER,elementary,Corporate,55000,0,1,,,23.014260049,0.631147541,,,2.9676847069,1575
OTHER,elementary,,29661,0,0,,,23.860520997,1.3290141478,,,3.5673703121,1595
OTHER,advanced,Corporate,14390,0,1,0,0.7567876344,23.131506849,2.1178082192,2,2,3.0328767123,1612
2NDFL,elementary,,39591,0,0,0,,23.361643836,2.6328767123,0,1,2.8575342466,1620
2NDFL,advanced,,15138,0,0,0,,23.942622951,0.5819672131,0,0,3.7428550041,1654
2NDFL,elementary,Corporate,72599,0,1,,,24.807171195,4.0109589041,,,4.6022531627,1655
2NDFL,elementary,,,0,1,,,24.019178082,2.4767123288,,,3.8246575342,1658
OTHER,high,Corporate,41751,1,1,0,0.5008736559,23.93989071,1.5602889438,1,1,2.8397409986,1659
OTHER,high,Corporate,11389,0,1,0,,23.800546448,0.4457668987,0,1,3.7513661202,1672
2NDFL,elementary,,34800,0,0,,,24.145205479,2.9287671233,,,4.0602739726,1718
OTHER,elementary,,50000,0,0,,,24.695890411,0.8301369863,,,4.6849315068,1753
OTHER,elementary,Corporate,32102,0,1,1,0.4380824373,23.259465529,0.4375477206,0,0,3.1663148439,1757
OTHER,advanced,,35000,0,0,1,0.2791218638,24.204918033,3.1334381316,0,0,4.1721311475,1762
2NDFL,elementary,,21741,0,0,1,0.5041890681,24.087671233,1.7671232877,0,0,3.8630136986,1766
OTHER,elementary,Corporate,56551,0,1,0,0.4172491039,24.180327869,0.6202185792,0,0,4.1174863388,1771
2NDFL,elementary,,151448,0,0,1,0.5091173835,23.194520548,0.6561718692,0,2,2.9178082192,1791
OTHER,elementary,Corporate,13903,0,1,1,0.601344086,24.647540984,3.529156374,0,0,4.6120218579,1796
2NDFL,high,,37630,0,0,,,24.872744966,0.8099034359,,,4.8645482446,1810
OTHER,elementary,Corporate,38366,0,1,0,14.277800179,24.609791152,0.5988322479,0,0,4.3907103825,1818
2NDFL,elementary,,71740,0,0,0,1.9963933692,23.915150835,3.5562467251,1,1,3.5370686429,1827
OTHER,elementary,Corporate,22790,0,1,1,1.0526433692,23.189041096,0.3750729845,1,1,3.0547945205,1836
OTHER,elementary,Corporate,23042,0,1,0,1.5398969534,23.527322404,2.0731716446,0,0,3.010157946,1837
OTHER,elementary,Corporate,59959,0,1,0,0.8197132616,24.598989445,0.174863388,0,1,4.3442622951,1875
OTHER,elementary,,47995,0,0,1,0.8245967742,23.93989071,1.5485066247,1,1,3.3046710083,1902
2NDFL,high,,20122,0,0,1,0.4767697133,23.907103825,1.0642188787,0,0,3.8114754098,1923
2NDFL,advanced,,19608,0,0,,,23.838356164,3.4301369863,,,3.402739726,1930
OTHER,advanced,Corporate,22617,0,1,0,1.0801747312,23.367497567,1.4140729096,0,0,0.5901639344,1933
OTHER,elementary,Corporate,47691,0,0,,,24.457534247,2.5698630137,,,4.3698630137,1935
OTHER,elementary,Corporate,30655,0,1,,,23.956164384,4.5912343738,,,3.8739726027,1943
2NDFL,beginner,,,0,1,1,0.8597446237,24.907268508,1.498630137,0,0,4.8444269781,1950
OTHER,advanced,Corporate,41610,0,1,,,23.431693989,2.2950819672,,,3.3989071038,1954
2NDFL,elementary,,83641,0,0,1,0.2185259857,24.539726027,1.6383561644,1,1,4.4246575342,1963
OTHER,elementary,Corporate,41217,0,1,0,11,24.565588742,0.2650273224,0,1,4.1912568306,1981
OTHER,high,Corporate,33498,0,1,0,,24.333333333,0.4098360656,0,0,0.979467026,1997
2NDFL,elementary,,13939,0,0,0,,24.286885246,0.5277640542,1,2,4.0628415301,2010
2NDFL,elementary,,23497,0,0,,,24.542465753,1.5542181301,,,3.8876712329,2015
OTHER,elementary,Corporate,22439,0,1,,,23.783561644,2.695890411,,,3.6904109589,2018
OTHER,elementary,Corporate,21971,0,1,0,7.8262768817,24.880365297,0.956868029,0,0,4.5552286848,2030
OTHER,high,Corporate,30469,0,1,0,0.7606182796,23.386862789,1.4663148439,0,1,3.2827532001,2038
OTHER,advanced,Corporate,38372,0,1,,,24.538917584,4.2103825137,,,4.3663148439,2050
OTHER,advanced,,22000,0,0,1,1.917921147,24.859465529,4.7827532001,0,0,4.8238490905,2056
OTHER,elementary,Corporate,28551,0,1,,,23.368852459,0.4625795344,,,3.306010929,2060
OTHER,advanced,Corporate,28045,0,1,,,24.850887042,0.2465753425,,,4.6924170971,2062
OTHER,elementary,Corporate,46714,0,1,1,0.5978046595,23.279534396,2.1370686429,0,0,1.2110412456,2065
2NDFL,advanced,,32256,0,0,,,24.095890411,0.6054794521,,,4.0191780822,2069
2NDFL,elementary,,33266,0,1,,,24.670244779,0.7057639045,,,4.4817201886,2074
OTHER,advanced,Corporate,44745,0,1,,,24.35535594,1.2265888165,,,4.3334381316,2078
OTHER,elementary,Corporate,55558,0,1,,,24.440856352,0.391541283,,,4.0491803279,2117
OTHER,high,Corporate,44076,0,1,0,2.4104390681,24.885829778,5.5780821918,0,0,4.8229882476,2133
OTHER,high,,25000,0,0,3,1.4678539427,24.016438356,0.7106969085,0,0,3.6356164384,2150
OTHER,elementary,Corporate,47545,0,1,,,23.717808219,0.2134291489,,,0.0301369863,2158
2NDFL,elementary,,,0,1,0,0.472983871,23.023849091,0.6293285426,0,0,2.7252189535,2180
OTHER,advanced,Corporate,37357,0,1,,,23.438356164,2.2712328767,,,3.4,2184
OTHER,elementary,Corporate,26031,0,1,,,24.265753425,4.3561643836,,,0.3287671233,2190
OTHER,elementary,Corporate,52652,0,1,0,1.3477150538,23.93442623,4.5445617187,0,0,3.8469945355,2203
OTHER,elementary,,35000,0,0,,,23.729508197,0.2759562842,,,3.4863387978,2217
OTHER,advanced,Corporate,22539,0,1,0,10.377710573,23.56284153,0.4349726776,0,0,3.4836065574,2326
OTHER,advanced,Corporate,42049,0,1,0,0.5620967742,23.707650273,2.3746912194,0,0,3.5519125683,2353
OTHER,high,Corporate,16312,0,1,0,,24.270491803,0.3469945355,0,0,4.1857923497,2363
OTHER,elementary,Corporate,34800,0,1,1,1.1216397849,24.875544577,0.3032786885,0,1,4.8481473164,2375
OTHER,advanced,Corporate,20480,0,1,,,23.328767123,0.3808219178,,,3.197260274,2409
OTHER,elementary,Corporate,47215,0,1,,,24.295890411,0.5724006288,,,3.7369863014,2449
OTHER,advanced,Corporate,42742,0,1,1,0.4099462366,24.18579235,2.0366494498,0,0,4.087431694,2471
OTHER,advanced,Corporate,42742,0,1,1,0.4099462366,24.18579235,2.0366494498,0,0,4.087431694,2472
2NDFL,elementary,,14492,0,0,0,,24.729508197,0.978643611,0,0,4.6557377049,2499
OTHER,high,Corporate,39468,0,1,0,0.4768369176,23.275956284,0.5473014447,0,0,3.1390822666,2513
OTHER,elementary,Corporate,32634,0,1,,,23.454794521,1.9589041096,,,3.3671232877,2553
2NDFL,high,,,0,1,,,21.351246351,0.2704918033,,,1.2580956658,2571
OTHER,high,Corporate,36255,0,1,,,23.24109589,0.8617261771,,,3.2054794521,2581
2NDFL,elementary,,34545,0,0,0,1,24.585657609,1.2048356913,0,0,4.2431918557,2604
OTHER,elementary,Corporate,28462,0,1,,,23.62295082,2.1524215884,,,3.4863387978,2610
OTHER,elementary,Corporate,42622,0,1,,,24.850490306,0.424260798,,,4.7794520548,2618
OTHER,high,Corporate,43526,0,1,0,,23.202185792,4.1995658358,0,0,1.6324425481,2650
2NDFL,elementary,,75975,0,0,,,24.457444419,0.7497941463,,,3.9479452055,2655
OTHER,high,Corporate,47662,0,1,1,0.3123655914,24.694572947,4.9650647504,0,0,4.6945729471,2657
2NDFL,elementary,,20693,0,0,0,,23.660648252,2.4990044165,0,0,1.2606482521,2695
OTHER,advanced,,10873,0,0,1,1.2427643369,23.723661951,2.1154427727,0,0,3.6743468823,2702
OTHER,elementary,,42000,0,0,0,0.56859319,24.773538439,0.6178007336,0,1,1.3342465753,2709
OTHER,high,Corporate,38640,0,1,,,23.167123288,1.1980836889,,,1.3374279512,2728
OTHER,elementary,Corporate,52200,0,1,,,23.682438805,0.4480874317,,,3.6084662026,2740
OTHER,elementary,Corporate,67626,0,1,0,0.4058915771,23.906849315,0.3145220451,0,0,3.8328767123,2767
2NDFL,elementary,,24941,0,0,0,,23.534807995,1.1485066247,0,0,3.4498764878,2778
2NDFL,high,,27051,0,0,0,,23.549180328,0.5586645707,1,2,3.3551912568,2779
OTHER,elementary,Corporate,45240,0,1,1,0.3167786738,24.601092896,0.4289617486,0,0,3.3762257654,2781
OTHER,elementary,Corporate,60454,0,1,0,,24.825136612,2.2771015795,0,0,4.8087431694,2784
OTHER,elementary,Corporate,40727,0,1,1,0.5409498208,24.421917808,0.5478104649,1,1,4.3616438356,2811
OTHER,elementary,Corporate,40367,0,1,0,0.3461917563,23.778688525,2.9270604087,0,0,3.6775956284,2820
2NDFL,elementary,,43500,0,0,1,0.7665770609,23.915300546,0.9614042967,0,0,3.8142076503,2845
2NDFL,elementary,,17109,0,0,0,,24.218579235,0.5136612022,1,1,4.1448087432,2879
OTHER,elementary,Corporate,39241,0,1,1,0.3362007168,24.80113781,3.5123287671,0,0,2.6219178082,2883
OTHER,elementary,Corporate,39241,0,1,1,0.3362007168,24.80113781,3.5123287671,0,0,2.6219178082,2884
OTHER,elementary,,30000,0,0,1,0.2481630824,23.095890411,1.0497642039,1,1,3.0219178082,2905
OTHER,elementary,Corporate,24500,0,1,0,,23.904371585,1.5923422412,0,0,3.9043715847,2913
OTHER,elementary,Corporate,51490,0,1,,,23.498630137,2.2410958904,,,3.4575342466,2922
2NDFL,elementary,,26783,0,0,0,0.3733870968,23.062205255,0.7443970357,0,0,2.7608353919,2928
OTHER,elementary,,70000,0,0,,,23.62739726,1.1567258028,,,1.9095890411,2958
OTHER,high,Corporate,39707,0,1,,,24.821663298,0.2764578187,,,4.7613893255,2959
OTHER,elementary,Corporate,51769,0,1,1,0.4459677419,24.262295082,0.543715847,0,0,4.2349726776,2989
OTHER,high,Corporate,41412,0,1,0,5.6008736559,23.226775956,1.3807620331,0,0,3.1229508197,2991
OTHER,elementary,Corporate,25000,0,1,0,1354.2730287,24.150273224,0.2732240437,0,0,1.3894303466,3006
2NDFL,elementary,Corporate,47319,0,1,2,0.5089829749,24.322404372,0.9221199192,0,0,4.2459016393,3019
2NDFL,elementary,,42324,0,0,1,0.8930555556,24.935975747,1.4537839659,0,0,4.7441949248,3035
2NDFL,elementary,,42324,0,0,1,0.8930555556,24.935975747,1.4537839659,0,0,4.7441949248,3036
2NDFL,elementary,Corporate,46996,0,0,1,0.3799507168,24.629126432,0.4154278015,0,0,4.3333333333,3043
OTHER,advanced,Corporate,12462,0,1,,,23.054352871,0.4954487611,,,2.78585972,3062
OTHER,elementary,Corporate,55245,0,0,,,23.082191781,0.4219178082,,,3.0657534247,3084
OTHER,advanced,Corporate,40615,0,1,,,24.235616438,1.4657534247,,,3.1780821918,3094
OTHER,high,Corporate,28075,0,1,0,0.3479390681,23.078284303,2.0125308781,0,0,3.0207500561,3095
OTHER,elementary,Corporate,56079,0,1,,,23.21369863,2.8684931507,,,3.1863013699,3098
2NDFL,elementary,,32082,0,0,,,23.690410959,2.1643835616,,,3.6465753425,3120
OTHER,high,Corporate,41009,0,1,0,0.3715949821,24.861471667,2.0121565985,0,0,3.7978142077,3160
2NDFL,high,,33234,0,0,,,23.534246575,0.8344037727,,,3.4739726027,3177
2NDFL,advanced,,26527,0,0,0,,24.930863089,0.3336028146,0,0,4.6596302118,3183
OTHER,advanced,Corporate,17100,0,1,,,24,0.7251141553,,,0.5639119695,3198
2NDFL,elementary,,33001,0,0,0,0.5341845878,23.961643836,1.8547945205,2,2,3.8,3199
2NDFL,high,,,0,0,,,24.569863014,0.301369863,,,4.5479452055,3214
2NDFL,advanced,,24326,0,0,1,0.9200492832,24.407103825,4.3278688525,0,0,4.3606557377,3215
OTHER,elementary,Corporate,54427,0,1,0,8.4375672043,23.928767123,2.7260273973,1,1,3.8328767123,3216
2NDFL,high,,34291,0,0,,,24.375305038,2.2602739726,,,4.1917808219,3227
OTHER,advanced,Corporate,29825,0,1,,,23.743027173,1.2142600494,,,1.8580956658,3230
OTHER,advanced,Corporate,32275,0,1,0,,24.087431694,0.5529830077,0,0,3.4344262295,3305
OTHER,high,Corporate,47221,0,1,1,1.0466621864,23.24863388,2.2103076578,0,0,2.7829103975,3313
OTHER,elementary,Corporate,53562,0,1,,,24.352623699,3.1863013699,,,4.3444269781,3315
2NDFL,advanced,Corporate,23599,0,0,2,-0.72327509,24.134246575,0.7941013549,1,1,4.0684931507,3319
OTHER,elementary,,50000,0,0,,,24.421917808,0.3726027397,,,2.9534246575,3320
OTHER,elementary,Corporate,45629,0,1,,,24.987326896,2.6438356164,,,4.9709334531,3331
2NDFL,beginner,,69486,0,0,0,2.606765233,23.570424433,0.9622052549,0,1,3.277273748,3350
2NDFL,beginner,,69486,0,0,0,2.606765233,23.570424433,0.9622052549,0,1,3.277273748,3351
OTHER,elementary,Corporate,87877,0,1,0,0.4730734767,24.990343589,0.9548244629,1,1,4.8919829329,3371
OTHER,advanced,Corporate,32033,0,1,1,3.6281137993,23.893150685,1.8684931507,0,0,3.7506849315,3400
OTHER,elementary,Corporate,21621,0,1,,,23.780821918,2.0739726027,,,3.7178082192,3401
OTHER,elementary,Corporate,28800,0,1,1,0.9888664875,24.330698406,1.9361778576,0,0,1.6046710083,3405
OTHER,advanced,Corporate,46089,0,1,1,0.4028225806,24.442622951,3.109663897,0,0,4.2868852459,3408
OTHER,advanced,Corporate,46089,0,1,1,0.4028225806,24.442622951,3.109663897,0,0,4.2868852459,3409
OTHER,elementary,Corporate,52024,0,1,0,,23.713114754,2.6081592934,0,0,3.5928961749,3418
OTHER,elementary,,25000,0,0,,,24.552414103,0.4537839659,,,3.0866606782,3462
2NDFL,elementary,,,0,1,,,23.986338798,0.7751029269,,,3.868852459,3475
OTHER,elementary,Corporate,45181,0,1,0,,24.237704918,0.1666666667,0,0,4.1612021858,3481
OTHER,high,Corporate,54587,0,1,0,37.564000896,23.178082192,2.0328767123,0,0,3.1561643836,3494
OTHER,elementary,Corporate,42876,0,1,0,0.2828629032,23.349726776,0.5334381316,0,0,3.2567258028,3510
OTHER,advanced,Corporate,33116,0,1,0,0.5971326165,23.581967213,2.8148963246,0,0,3.2916086533,3516
OTHER,elementary,,87000,0,0,0,0.4647625448,24.276547646,0.3667115802,0,0,4.1178082192,3539
OTHER,elementary,Corporate,34802,0,1,2,0.3384408602,24.462339996,2.5506849315,0,0,4.4514110338,3552
OTHER,elementary,Corporate,34802,0,1,2,0.3384408602,24.462339996,2.5506849315,0,0,4.4514110338,3553
OTHER,advanced,Corporate,56191,0,1,1,0.4723342294,24.256830601,5.0222920877,0,0,4.2540983607,3564
OTHER,advanced,Corporate,56191,0,1,1,0.4723342294,24.256830601,5.0222920877,0,0,4.2540983607,3565
OTHER,elementary,Corporate,32739,0,1,,,24.336177858,0.4950819672,,,4.1994535519,3591
OTHER,elementary,Corporate,77337,0,1,,,24.935496669,3.0630136986,,,4.8699228984,3640
OTHER,high,Corporate,32286,0,1,0,,24.771434988,2.2645856726,0,0,4.6892432068,3643
OTHER,advanced,Corporate,39019,0,1,1,1.1133736559,24.775956284,2.6439104723,0,0,1.3206228011,3658
OTHER,elementary,Corporate,25446,0,1,0,5.0587365591,23.745205479,2.1835616438,1,1,3.602739726,3662
OTHER,elementary,Corporate,55471,0,1,,,24.161643836,3.1780821918,,,4.1287671233,3665
OTHER,elementary,Corporate,23083,0,1,0,1.0834901434,24.938558275,0.5002021109,0,1,4.9221199192,3681
